parameter,number_measurements,measurement_spacing,midpoint,bias,num_removed_values,lower_ci,upper_ci,lower_ci_perc,upper_ci_perc,sd_estimate,estimate,num_converged_values,pop_value,perc_error,conv_fail
gamma_rand,9,Equal,180,0.21078205496199034,2,1,5.620757641326374,-300,162.07576413263732,1.079098010959843,3.772545503744488,999,4,5.6863624063878015,0
gamma_rand,9,Equal,280,-0.0041042302031920625,0,1.3017133403765346,5.803944911006258,-269.8286659623466,180.39449110062583,1.0402270737638863,4.00426933137432,996,4,-0.106733284357996,0
gamma_rand,9,Time increasing,80,-0.08173127604459679,2,2.2459046790327113,5.580159830593324,-175.40953209672887,158.01598305933246,0.8540879515901234,4.069805698137777,1000,4,-1.7451424534444149,0
gamma_rand,9,Time increasing,180,-0.10609660130780088,1,2.010909471685579,5.726256737768976,-198.90905283144212,172.62567377689768,0.913728626306453,4.09694350176876,997,4,-2.423587544219008,0
gamma_rand,9,Time increasing,280,-0.21145537404737186,2,2.17698177703905,5.776289528488769,-182.30182229609497,177.6289528488769,0.9282164403617218,4.196276354593608,999,4,-4.906908864840198,0
gamma_rand,9,Time decreasing,80,-0.11163859722529888,0,2.2065212634266747,5.703820703190499,-179.34787365733257,170.38207031904994,0.9233058482158719,4.103076569704735,1000,4,-2.5769142426183667,0
gamma_rand,9,Time decreasing,180,-0.0414654558892886,6,1.544471704636331,5.77073552632572,-245.55282953636691,177.073552632572,1.026651357594818,4.042570566582026,996,4,-1.0642641645506545,0
gamma_rand,9,Time decreasing,280,-0.1284999400326502,4,2.1953110920019645,5.533782264340781,-180.46889079980355,153.37822643407804,0.8869048147579591,4.1139672155110665,991,4,-2.849180387776662,0
gamma_rand,9,Middle-and-extreme,80,0.154868388247596,0,1,6.744456459534364,-300,274.4456459534364,1.7969251184597907,3.7217131031025117,997,4,6.957172422437208,0
gamma_rand,9,Middle-and-extreme,180,-0.045012249001933166,2,2.3402844103765115,5.437775507282485,-165.97155896234887,143.7775507282484,0.7939469536570682,4.035737337972338,997,4,-0.8934334493084561,0
gamma_rand,9,Middle-and-extreme,280,0.09924870953850035,1,1,7.047328072947554,-300,304.7328072947554,1.8295220489515858,3.818422297569322,998,4,4.539442560766949,0
gamma_rand,11,Equal,80,-0.008317225011636127,0,2.2521682559311462,5.553659950235982,-174.7831744068854,155.36599502359826,0.8574926879855974,4.007131959631809,1000,4,-0.1782989907952226,0
gamma_rand,11,Equal,180,0.056832878415185965,0,2.1655109635135603,5.303113115947753,-183.44890364864395,130.3113115947753,0.8151177076381977,3.953674514427733,994,4,1.1581371393066697,0
gamma_rand,11,Equal,280,-0.05560769333570546,7,2.1170626410682107,5.541856016382196,-188.2937358931789,154.18560163821962,0.8402209812121101,4.046722750657469,997,4,-1.168068766436714,0
gamma_rand,11,Time increasing,80,-0.0729169253491401,0,2.220827628581168,5.4672935381543555,-177.91723714188322,146.72935381543553,0.8263509519595966,4.060254970676229,1000,4,-1.506374266905719,0
gamma_rand,11,Time increasing,180,-0.07942711175403012,0,2.5555844744981857,5.414425640153018,-144.4415525501814,141.44256401530183,0.7431922835009982,4.059029616556367,997,4,-1.4757404139091657,0
gamma_rand,11,Time increasing,280,0.13632209588996258,2,1.5755943135771773,5.546003082110919,-242.44056864228224,154.60030821109189,0.9717088440531128,3.867534613783867,996,4,3.3116346554033282,0
gamma_rand,11,Time decreasing,80,0.03461118851233722,0,1.5537898343849728,5.6477090422336,-244.62101656150273,164.77090422335996,1.0055446585526457,3.9651969042652606,999,4,0.8700773933684847,0
gamma_rand,11,Time decreasing,180,-0.11799521940920735,1,2.4502684786347513,5.383286975262889,-154.97315213652487,138.32869752628895,0.7553017105122509,4.089121991052043,996,4,-2.2280497763010665,0
gamma_rand,11,Time decreasing,280,-0.041291607573283956,12,2.2473496843748744,5.510952153039247,-175.26503156251255,151.0952153039247,0.8240334110032544,4.034025664234421,996,4,-0.8506416058605248,0
gamma_rand,11,Middle-and-extreme,80,-0.014319606270566769,0,2.0172565202558963,5.568614130105662,-198.27434797441038,156.86141301056628,0.8797454761119944,4.012597608836236,1000,4,-0.31494022090590157,0
gamma_rand,11,Middle-and-extreme,180,-0.035248026495009,0,2.7109880676385356,5.232361251068726,-128.90119323614647,123.23612510687262,0.6575488373865415,4.023177298841963,994,4,-0.5794324710490795,0
gamma_rand,11,Middle-and-extreme,280,-0.04001266088604463,10,2.170950686551765,5.540749612892023,-182.90493134482347,154.0749612892023,0.8415628242140993,4.033673167899581,996,4,-0.8418291974895187,0
epsilon,5,Equal,80,0.08512527712931914,0,0.028020662943623646,0.031940835335022524,-0.19793370563763527,0.19408353350225294,0.0010262522250459388,0.029912639994938383,995,0.03,0.2912000168720531,0
epsilon,5,Equal,180,0.27655813459844647,6,0.02757573768685682,0.03186982695799179,-0.24242623131431779,0.1869826957991788,0.0010895318282858066,0.02969868110998364,967,0.03,1.0043963000545253,0
epsilon,5,Equal,280,0.11192309089734152,1,0.02796534487691032,0.031844609582575706,-0.203465512308968,0.18446095825757014,0.0010054938148736888,0.029887462024361176,981,0.03,0.3751265854627419,0
epsilon,5,Time increasing,80,0.09328338044810426,0,0.02795641713960721,0.0317490572027683,-0.20435828603927902,0.17490572027683005,9.952306301551097e-4,0.029907161522493633,1000,0.03,0.3094615916878855,0
epsilon,5,Time increasing,180,0.15868128028259745,5,0.02786680678865866,0.03189388975400611,-0.2133193211341337,0.18938897540061125,0.0010041799928754613,0.02984065543309635,1000,0.03,0.5311485563454926,0
epsilon,5,Time increasing,280,0.09499080555410759,1,0.028028901530146463,0.03164866428007226,-0.19710984698535378,0.16486642800722603,9.476152196639815e-4,0.029909985266928785,936,0.03,0.30004911023738073,0
epsilon,5,Time decreasing,80,0.22290115986887063,0,0.027963944910330944,0.03156060623518067,-0.20360550896690563,0.15606062351806727,8.963921061450949e-4,0.029800193159842957,968,0.03,0.6660228005234715,0
epsilon,5,Time decreasing,180,0.1392395220196908,7,0.027845281351983102,0.03180800454768348,-0.21547186480168984,0.18080045476834805,0.0010103788687686392,0.029859315329253858,983,0.03,0.4689489024871374,0
epsilon,5,Time decreasing,280,0.11443916557496259,4,0.027848999532537628,0.03190427725468828,-0.2151000467462373,0.19042772546882786,0.0010517764071543622,0.02987963558559382,880,0.03,0.4012147146872577,0
