parameter,number_measurements,measurement_spacing,sample_size,num_removed_values,sd_estimate,lower_ci,upper_ci,lower_ci_90,upper_ci_90,estimate,num_converged_values,pop_value,conv_fail,perc_error,bias_status,ci_status,precision_status,errorbar_length,time_structuredness
bold(E:~theta[fixed]~(Baseline)),11,Equal spacing,30,0,0.010292263735532048,2.980669157234839,3.019911250007937,2.9837709754567845,3.018031395863326,3.0004637971846617,1000,3,0,0.015459906155390613,0,0,0,0.03924209277309787,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),11,Equal spacing,50,0,0.008062269708411205,2.985528010532513,3.0155352496421015,2.9870578953108073,3.0129348875817263,3.0001850543922814,1000,3,0,0.006168479742714912,0,0,0,0.03000723910958847,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),11,Equal spacing,100,0,0.005857977091254062,2.98850188578032,3.0107129461877804,2.990112550558134,3.0092024690915635,3.000067559814281,1000,3,0,0.0022519938093730945,0,0,0,0.022211060407460348,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),11,Equal spacing,200,0,0.004108825905993187,2.9924962422395525,3.0081587993911874,2.9937543061259047,3.0071142912764595,3.0004451066247393,1000,3,0,0.014836887491309625,0,0,0,0.015662557151634893,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),11,Equal spacing,500,0,0.002563705741723784,2.9954748533040796,3.005529973492661,2.99616544040084,3.004546986635993,3.000345337567756,1000,3,0,0.011511252258526266,0,0,0,0.010055120188581235,Time unstructured (slow response)
bold(E:~theta[fixed]~(Baseline)),11,Equal spacing,1000,0,0.0017708456907947355,2.9966794462217328,3.00365934438426,2.9974033550622483,3.0030190456430934,3.0001777259652567,1000,3,0,0.005924198841888995,0,0,0,0.006979898162527309,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),5,Equal spacing,30,0,2.533563577842501e-4,0.03162277660168379,0.06649383831073569,0.03162277660176721,0.0644419414185779,0.04932678662438424,999,0.05,0,1.3464267512315193,0,1,1,0.034871061709051895,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),5,Equal spacing,50,0,2.533563577842501e-4,0.03329347878617896,0.0641655838306507,0.03643094414096917,0.06182793025123723,0.04971878289900945,1000,0.05,0,0.5624342019810991,0,1,1,0.030872105044471743,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),5,Equal spacing,100,0,2.533563577842501e-4,0.03794128461761969,0.059468249498849865,0.040280415602618545,0.05837176801326669,0.049681104291202004,1000,0.05,0,0.6377914175959981,0,1,1,0.021526964881230175,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),5,Equal spacing,200,0,2.533563577842501e-4,0.04163429298349112,0.057014449075714756,0.043406429194471755,0.05594105168343929,0.049894322586142764,1000,0.05,0,0.21135482771447722,0,1,1,0.015380156092223637,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),5,Equal spacing,500,0,2.533563577842501e-4,0.04511981113198574,0.05465825273661596,0.04588230786891276,0.05392331169399363,0.050022698035276286,989,0.05,0,0.04539607055256689,0,0,0,0.009538441604630223,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),5,Equal spacing,1000,0,2.533563577842501e-4,0.04659952119549107,0.05310291816165644,0.04714409068397548,0.052498187324178,0.04995637934064412,975,0.05,0,0.0872413187117671,0,0,0,0.0065033969661653646,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),7,Equal spacing,30,0,3.9484542759490583e-4,0.03162277660168379,0.06628462619957219,0.03296796976462109,0.06318357667158819,0.048907130319776386,1000,0.05,0,2.1857393604472337,0,1,1,0.0346618495978884,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),7,Equal spacing,50,0,3.9484542759490583e-4,0.035068360173782794,0.06184604772563385,0.037572295087514494,0.05984670586930853,0.04956250582209349,1000,0.05,0,0.874988355813025,0,1,1,0.02677768755185106,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),7,Equal spacing,100,0,3.9484542759490583e-4,0.03959154138797784,0.058339775640001416,0.04130504754926465,0.05727875235866036,0.04966881773251039,1000,0.05,0,0.6623645349792262,0,1,1,0.018748234252023578,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),7,Equal spacing,200,0,3.9484542759490583e-4,0.043101789681976185,0.056028377824446876,0.0442226134876737,0.05548634223026789,0.04992840089769928,1000,0.05,0,0.14319820460144406,0,1,1,0.01292658814247069,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),7,Equal spacing,500,0,3.9484542759490583e-4,0.04565208661326876,0.05425909808568794,0.04626820514706222,0.05350152335406162,0.049845456613222594,995,0.05,0,0.3090867735548175,0,0,0,0.008607011472419185,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),7,Equal spacing,1000,0,3.9484542759490583e-4,0.0469975764730385,0.052845339874048686,0.047343663212649045,0.052463127432666165,0.04997245647863304,990,0.05,0,0.05508704273392284,0,0,0,0.005847763401010182,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),9,Equal spacing,30,0,3.0631542446741557e-4,0.03162277660340089,0.06437813861176717,0.033778924823764434,0.062299655248163485,0.04905917509356424,1000,0.05,0,1.8816498128715193,0,1,1,0.032755362008366276,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),9,Equal spacing,50,0,3.0631542446741557e-4,0.036328000508808495,0.061855431983279946,0.03859060728977386,0.05912746785412625,0.04941063408440456,1000,0.05,0,1.1787318311908823,0,1,1,0.02552743147447145,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),9,Equal spacing,100,0,3.0631542446741557e-4,0.04111830703454484,0.05803221621393431,0.042425036292768906,0.056952447833853594,0.04967595347196467,1000,0.05,0,0.6480930560706644,0,1,1,0.016913909179389473,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),9,Equal spacing,200,0,3.0631542446741557e-4,0.04317158494462555,0.05530866656369756,0.04437337476919612,0.05433718258159685,0.04968027720066767,1000,0.05,0,0.6394455986646619,0,1,1,0.01213708161907201,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),9,Equal spacing,500,0,3.0631542446741557e-4,0.04606248072310961,0.05340999104519345,0.04656624523766815,0.05293254215099274,0.0498244820032681,1000,0.05,0,0.35103599346381076,0,0,0,0.00734751032208384,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),9,Equal spacing,1000,0,3.0631542446741557e-4,0.046896075470546916,0.052583318140390065,0.04747720544854309,0.05220950893477875,0.04988101655330196,1000,0.05,0,0.23796689339608545,0,0,0,0.005687242669843148,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),11,Equal spacing,30,0,3.3877946797414624e-4,0.03177292437152257,0.06429861587721074,0.034714166062490504,0.062330063374785014,0.04928136010091015,1000,0.05,0,1.4372797981797025,0,1,1,0.03252569150568817,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),11,Equal spacing,50,0,3.3877946797414624e-4,0.03616209986674948,0.06126275968085219,0.03816258717824389,0.05919992097972355,0.049113510232643855,1000,0.05,0,1.772979534712296,0,1,1,0.025100659814102706,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),11,Equal spacing,100,0,3.3877946797414624e-4,0.04106328965595227,0.05761034252583982,0.04241143879277291,0.056622285838162235,0.04940962914010782,1000,0.05,0,1.1807417197843701,0,1,1,0.01654705286988755,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),11,Equal spacing,200,0,3.3877946797414624e-4,0.04329495762186555,0.055723703249765076,0.044521864981296275,0.054886450374176325,0.04981111184749188,1000,0.05,0,0.3777763050162447,0,1,1,0.012428745627899529,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),11,Equal spacing,500,0,3.3877946797414624e-4,0.04628747753275179,0.05381257713843744,0.046656965172327265,0.05299053524882509,0.0498789738052025,1000,0.05,0,0.24205238959500164,0,0,0,0.007525099605685655,Time unstructured (slow response)
bold(G:~theta[random]~(Baseline)),11,Equal spacing,1000,0,3.3877946797414624e-4,0.047138715099126496,0.052587116479855964,0.04762411799408327,0.05207875546857357,0.04989099937228532,1000,0.05,0,0.21800125542936755,0,0,0,0.005448401380729467,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),5,Equal spacing,30,0,0.011605110956623952,3.298445639658695,3.3417821695771015,3.301639435849151,3.3395708763943026,3.3204855550606815,999,3.32,0,0.014625152430171939,0,0,0,0.04333652991840653,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),5,Equal spacing,50,0,0.00869020863712152,3.3036342684174165,3.3366538078144945,3.3056968154970177,3.3343368883196836,3.3201666329619655,1000,3.32,0,0.005019065119446331,0,0,0,0.033019539397078024,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),5,Equal spacing,100,0,0.0063403655524982006,3.3080766602848937,3.332268781499391,3.3093427761232475,3.3306492323269237,3.3200900506638327,1000,3.32,0,0.0027123693925551274,0,0,0,0.02419212121449732,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),5,Equal spacing,200,0,0.004472719374636648,3.3118928827025207,3.328918739758542,3.3129291294328413,3.327611454917919,3.320060784791457,1000,3.32,0,0.0018308672125633275,0,0,0,0.01702585705602111,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),5,Equal spacing,500,0,0.0028289692054842878,3.3144815200971163,3.3253685764765795,3.315325498038262,3.324543358278222,3.319911380658387,989,3.32,0,0.0026692572774991608,0,0,0,0.01088705637946319,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),5,Equal spacing,1000,0,0.0020748990154487042,3.315523243171417,3.3237287895185235,3.3163049714400814,3.3232135615917877,3.3198212059398973,975,3.32,0,0.005385363256101558,0,0,0,0.008205546347106463,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),7,Equal spacing,30,0,0.011155050631848892,3.2985118891110563,3.3428411690623947,3.3019763628204863,3.3396520404831818,3.320312907790387,1000,3.32,0,0.009424933445390105,0,0,0,0.044329279951338396,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),7,Equal spacing,50,0,0.008679850707181134,3.3025105775975594,3.3362035962465812,3.305531300139068,3.3335783490896547,3.319516039069623,1000,3.32,0,0.014577136457140323,0,0,0,0.033693018649021855,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),7,Equal spacing,100,0,0.006002784152353933,3.308966677619558,3.332061533413728,3.3106385771514732,3.330405977104749,3.3200130928976685,1000,3.32,0,3.94364387611731e-4,0,0,0,0.0230948557941697,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),7,Equal spacing,200,0,0.004225420929697687,3.3120123947483457,3.3280595562004254,3.313002276175554,3.3269236998927205,3.319850950312058,1000,3.32,0,0.0044894484319793915,0,0,0,0.016047161452079628,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),7,Equal spacing,500,0,0.0025256296871173766,3.314891759708729,3.3246255553031547,3.315622862415384,3.3238714785856147,3.3198020842513776,995,3.32,0,0.005961317729586393,0,0,0,0.009733795594425665,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),7,Equal spacing,1000,0,0.001928860835045423,3.315940192578192,3.32357146910704,3.3165098583460706,3.3229038580483508,3.3197854322086604,990,3.32,0,0.006462885281308351,0,0,0,0.007631276528848208,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),9,Equal spacing,30,0,0.011007483416088185,3.298685785487846,3.340685914302037,3.3020711146756625,3.3382030347516016,3.320072613468925,1000,3.32,0,0.002187152678472489,0,0,0,0.042000128814190685,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),9,Equal spacing,50,0,0.0077797005271690416,3.3055532737186923,3.3360783993224423,3.3072294574844934,3.333178302501837,3.3200841523616784,1000,3.32,0,0.002534709689113855,0,0,0,0.03052512560374998,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),9,Equal spacing,100,0,0.005808313706463182,3.308080601690875,3.3308773027220187,3.3102284860913582,3.328889705555331,3.3195881577351423,1000,3.32,0,0.012404887495710119,0,0,0,0.02279670103114384,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),9,Equal spacing,200,0,0.00405248759160254,3.3122425874856005,3.3282730727974856,3.3131772287218477,3.3270655216977585,3.320070758161626,1000,3.32,0,0.002131269928492137,0,0,0,0.016030485311885112,Time unstructured (slow response)
