parameter,number_measurements,measurement_spacing,sample_size,bias,num_removed_values,lower_ci,upper_ci,lower_ci_perc,upper_ci_perc,sd_estimate,estimate,num_converged_values,pop_value,perc_error,conv_fail
theta_fixed,5,Equal,30,-0.008415387996956835,0,2.9812640602219114,3.019546493437519,-1.8735939778088406,1.9546493437518797,0.010215592637777281,3.0000859681756658,991,3,-0.002865605855525051,0
theta_fixed,5,Equal,50,0.04082603964167305,0,2.984402137392265,3.0156618246079914,-1.5597862607735402,1.5661824607991597,0.007919283799043999,2.9996766870056866,980,3,0.010777099810447648,0
theta_fixed,5,Equal,100,-0.00691361907065757,1,2.989231570956666,3.0110423877201833,-1.0768429043334038,1.1042387720183284,0.005620104904108051,3.000038855264444,986,3,-0.0012951754814712522,0
theta_fixed,5,Equal,200,-0.04168088557284685,2,2.99238381156447,3.0080813715884434,-0.7616188435529714,0.8081371588443214,0.003958469327422195,3.00016499250708,981,3,-0.005499750235996951,0
theta_fixed,5,Equal,500,-0.02302933633926664,2,2.994769303028187,3.00534988140416,-0.5230696971813054,0.534988140416004,0.0026164836930866013,3.0000602558829943,958,3,-0.002008529433143262,0
theta_fixed,5,Equal,1000,-0.09372464571770393,0,2.9966436891997046,3.0039401958097,-0.335631080029547,0.3940195809700193,0.0018578495305590392,3.0001741262890484,890,3,-0.005804209634948284,0
theta_fixed,5,Time increasing,30,0.03813540399293723,0,2.980758211669971,3.0193138828206862,-1.9241788330028486,1.9313882820686192,0.009921539370202091,2.9996216380878855,988,3,0.012612063737149626,0
theta_fixed,5,Time increasing,50,-0.0701498999319696,0,2.9841534928866595,3.0153595947182086,-1.5846507113340513,1.535959471820858,0.007970645872532036,3.0005591400103513,996,3,-0.01863800034504296,0
theta_fixed,5,Time increasing,100,-0.0569987765840569,0,2.989927071686309,3.0106642051955665,-1.0072928313690777,1.0664205195566823,0.005292815045842014,3.0003016839822987,996,3,-0.010056132743289464,0
theta_fixed,5,Time increasing,200,-0.03566411795233631,0,2.9925472509361266,3.007489309620738,-0.7452749063873509,0.7489309620738182,0.0038030466912399663,3.0001356323057746,998,3,-0.0045210768591541495,0
theta_fixed,5,Time increasing,500,-0.031815342610306205,0,2.9950289547787605,3.004775915853914,-0.49710452212394673,0.47759158539142693,0.0024631721568170333,3.0000783666660773,998,3,-0.0026122222025766932,0
theta_fixed,5,Time increasing,1000,-0.09126901398991157,0,2.996849792441233,3.0034952685165295,-0.3150207558766893,0.34952685165296254,0.0017227360197970758,3.000157232417892,1000,3,-0.005241080596392797,0
theta_fixed,5,Time decreasing,30,-0.03639696407590805,1,2.9796450459197885,3.0213560968741557,-2.0354954080211094,2.1356096874155983,0.010679353446782423,3.0003886960437565,985,3,-0.012956534791882154,0
theta_fixed,5,Time decreasing,50,-0.05288816180610404,5,2.984172951852346,3.0169137804497295,-1.5827048147654121,1.6913780449729643,0.008449813314439832,3.0004468950938055,982,3,-0.01489650312684887,0
theta_fixed,5,Time decreasing,100,0.06356748691049299,16,2.9882830613279303,3.011180726573161,-1.1716938672069643,1.118072657316114,0.005879819764538783,2.9996262346340816,988,3,0.01245884553061257,0
theta_fixed,5,Time decreasing,200,-3.2275965644239484e-4,6,2.9919211061370263,3.008041618715695,-0.8078893862973457,0.8041618715695386,0.004124736232318481,3.0000013312984493,980,3,-4.437661497528704e-5,0
theta_fixed,5,Time decreasing,500,-0.011509455457134568,9,2.995250840760997,3.005099553979881,-0.4749159239003209,0.5099553979881155,0.00250705322548856,3.0000288548174274,960,3,-9.618272475808709e-4,0
theta_fixed,5,Time decreasing,1000,0.050851333187051546,9,2.9963558584272088,3.0036775391310315,-0.3644141572791182,0.3677539131031704,0.0018979914049142266,2.9999034846066825,964,3,0.0032171797772484467,0
theta_fixed,5,Middle-and-extreme,30,-0.016916029156833046,1,2.9802274883395103,3.0202507447109,-1.9772511660489656,2.025074471089981,0.010518644699943888,3.0001779337004346,998,3,-0.005931123347820607,0
theta_fixed,5,Middle-and-extreme,50,-0.060021128147157286,1,2.9841267932769773,3.015761389979646,-1.5873206723022282,1.5761389979645637,0.008195979719224677,3.000491931949019,993,3,-0.01639773163396955,0
theta_fixed,5,Middle-and-extreme,100,-0.05622094602422254,0,2.9881841465888535,3.012398794783807,-1.1815853411146349,1.23987947838067,0.005998667067059517,3.0003372507373944,972,3,-0.01124169124648115,0
theta_fixed,5,Middle-and-extreme,200,-0.08007294867414602,1,2.992508067197345,3.0082861798589042,-0.7491932802655277,0.8286179858904362,0.003877728929591716,3.0003105011895514,964,3,-0.010350039651714955,0
theta_fixed,5,Middle-and-extreme,500,-0.053005435934975434,12,2.9949711726887345,3.0050324613346637,-0.5028827311265527,0.50324613346639,0.002606367086035204,3.000138151623602,885,3,-0.004605054120062254,0
theta_fixed,5,Middle-and-extreme,1000,-0.10771204752094496,1,2.996899748134269,3.00357410651505,-0.31002518657309075,0.3574106515049748,0.0017808048649506948,3.000191814138239,768,3,-0.006393804607969973,0
theta_fixed,7,Equal,30,-0.05490329853807092,0,2.9808797390412964,3.019773143663519,-1.9120260958703283,1.9773143663519122,0.009772229290555743,3.000536527622122,996,3,-0.017884254070728765,0
theta_fixed,7,Equal,50,-0.013051414698658977,0,2.9840792375287832,3.0149982419780996,-1.5920762471216432,1.499824197809938,0.007712459186536152,3.00010065850319,999,3,-0.003355283439665513,0
theta_fixed,7,Equal,100,-0.08402735227599283,1,2.9898621134080825,3.0113828778818816,-1.0137886591917666,1.138287788188136,0.005472185203165408,3.000459813233786,997,3,-0.015327107792861838,0
theta_fixed,7,Equal,200,-0.021102054806086443,0,2.9928001080915285,3.0078363014240295,-0.7199891908471567,0.7836301424029376,0.003740444992754922,3.0000789310752363,993,3,-0.002631035841208866,0
theta_fixed,7,Equal,500,-0.10002966368665109,1,2.9950541370290527,3.0052686925109753,-0.4945862970947701,0.5268692510975548,0.002513673794298551,3.0002514419442616,990,3,-0.008381398142054408,0
theta_fixed,7,Equal,1000,-0.12896889555343252,3,2.997136204823204,3.0036539561416555,-0.2863795176795958,0.3653956141655509,0.001688819719893795,3.0002178052140636,986,3,-0.0072601738021186675,0
theta_fixed,7,Time increasing,30,-0.017901903203952733,0,2.9801976189855033,3.0200406374156388,-1.9802381014496828,2.0040637415638654,0.010032129749882884,3.000179594215712,999,3,-0.005986473857063265,0
theta_fixed,7,Time increasing,50,-0.05716470268343572,0,2.984815226331968,3.0151874269768255,-1.5184773668031746,1.5187426976825356,0.007643303844882611,3.000436927191812,999,3,-0.01456423972706252,0
theta_fixed,7,Time increasing,100,-0.019587797980268558,0,2.990090598666115,3.010515351149348,-0.9909401333885282,1.051535114934824,0.005275665698403904,3.0001033386739118,1000,3,-0.003444622463725603,0
theta_fixed,7,Time increasing,200,0.006311307004025852,0,2.9926368454525925,3.0070989215786805,-0.7363154547407968,0.7098921578680525,0.003799902339960148,2.999976017649747,999,3,7.994116750934902e-4,0
theta_fixed,7,Time increasing,500,-0.09064142838644738,1,2.995667220033913,3.0048508728342007,-0.43327799660871635,0.4850872834200659,0.00233014688017215,3.000211207841569,997,3,-0.007040261385634257,0
theta_fixed,7,Time increasing,1000,-0.13170760123515982,0,2.9969999186890357,3.00332837449056,-0.30000813109645863,0.3328374490560058,0.0016567038690089243,3.000218200492544,1000,3,-0.007273349751472462,0
theta_fixed,7,Time decreasing,30,-0.014988215261571064,0,2.9807815385598033,3.0184760562686526,-1.921846144019702,1.8476056268652328,0.009616078989241298,3.000144127861863,998,3,-0.0048042620621006425,0
theta_fixed,7,Time decreasing,50,-0.0432696863833481,0,2.98443672598496,3.0157703905133544,-1.5563274015039985,1.5770390513354215,0.007882532363090196,3.0003410747032575,996,3,-0.01136915677525015,0
