parameter,number_measurements,measurement_spacing,sample_size,time_structuredness,bias,num_removed_values,lower_ci,upper_ci,lower_ci_perc,upper_ci_perc,sd_estimate,estimate,num_converged_values,pop_value,perc_error,conv_fail
theta_fixed,5,Equal,30,fast_response,0.00751371372613925,0,2.9806766322615523,3.0189412676654177,-1.932336773844785,1.8941267665417727,0.010268281473257378,2.9999228470725505,982,3,0.0025717642483158443,0
theta_fixed,5,Equal,30,slow_response,0.05275578488536558,0,2.9794905074199614,3.019594927443313,-2.050949258003892,1.9594927443313135,0.01026412306438611,2.9994585081315783,990,3,0.0180497289473891,0
theta_fixed,5,Equal,30,time_structured,-0.008415387996956835,0,2.9812640602219114,3.019546493437519,-1.8735939778088406,1.9546493437518797,0.010215592637777281,3.0000859681756658,991,3,-0.002865605855525051,0
theta_fixed,5,Equal,50,fast_response,-0.021506854409640275,1,2.9845220339023726,3.015408757730576,-1.5477966097627047,1.540875773057571,0.007867491478229197,3.0001692049937914,983,3,-0.005640166459712029,0
theta_fixed,5,Equal,50,slow_response,-0.03952055829670879,2,2.984913884600963,3.0153025950623986,-1.5086115399036792,1.5302595062398705,0.008173598469446415,3.0003230251748056,987,3,-0.01076750582685489,0
theta_fixed,5,Equal,50,time_structured,-0.05258399352031687,0,2.9835376113394245,3.015121201963765,-1.6462388660575644,1.5121201963764819,0.00801006525010958,3.000421201219209,986,3,-0.014040040640302584,0
theta_fixed,5,Equal,100,fast_response,0.020734304325318594,0,2.9881910743546287,3.010587525850287,-1.1808925645371227,1.0587525850287383,0.0057406311636407,2.9998809720064337,986,3,0.00396759978554447,0
theta_fixed,5,Equal,100,slow_response,-0.07269141348415585,0,2.988409463040487,3.01185984904555,-1.1590536959512965,1.185984904555032,0.005919947079948405,3.000430329320993,990,3,-0.014344310699761683,0
theta_fixed,5,Equal,100,time_structured,0.014736811951638179,0,2.9892813752845138,3.0111380803782386,-1.071862471548628,1.1138080378238637,0.005569411844172775,2.999917924624971,989,3,0.002735845834293353,0
theta_fixed,5,Equal,200,fast_response,-0.048549043006548095,0,2.9927862271947023,3.0082409431426678,-0.7213772805297936,0.8240943142667988,0.004099386997908883,3.000199021315662,973,3,-0.006634043855398748,0
theta_fixed,5,Equal,200,slow_response,-0.04606563008039611,0,2.9919878606397283,3.0085033633082077,-0.801213936027203,0.8503363308207268,0.004171299609303089,3.0001921535447567,987,3,-0.00640511815855523,0
theta_fixed,5,Equal,200,time_structured,0.007665655987768519,0,2.992137446887938,3.0076527333340772,-0.7862553112061921,0.7652733334076878,0.00401621040543919,2.9999692131126574,985,3,0.0010262295780864386,0
theta_fixed,5,Equal,500,fast_response,-0.08647866512712667,1,2.9954240623431305,3.005203590985932,-0.4575937656869722,0.520359098593206,0.002555724810185121,3.000221015670017,956,3,-0.007367189000569614,0
theta_fixed,5,Equal,500,slow_response,-0.11477685379032226,1,2.9952639877563865,3.005197083831835,-0.4736012243613441,0.5197083831834959,0.002575899590787617,3.0002956536507104,969,3,-0.009855121690346042,0
theta_fixed,5,Equal,500,time_structured,-0.012454799266152485,1,2.9953702129004163,3.0046477497310615,-0.46297870995838597,0.4647749731061588,0.0024688758790108447,3.000030749353486,949,3,-0.001024978449537528,0
theta_fixed,5,Equal,1000,fast_response,-0.06878036211783453,0,2.9965558471037674,3.0035288432028233,-0.3444152896232666,0.3528843202823114,0.001774470230318858,3.0001220487050086,898,3,-0.004068290166954943,0
theta_fixed,5,Equal,1000,slow_response,-0.08105873987660735,2,2.996661954348659,3.0038427901040023,-0.3338045651341215,0.384279010400268,0.0018556346903513723,3.000150415409671,913,3,-0.005013846989040024,0
theta_fixed,5,Equal,1000,time_structured,-0.09500778214471706,1,2.9968026039602544,3.0040016765652147,-0.31973960397453705,0.40016765652146824,0.001818479549734436,3.000172769708896,885,3,-0.005758990296526415,0
theta_fixed,7,Equal,30,fast_response,-0.02575739148635586,0,2.981572592444756,3.020667452968694,-1.8427407555243913,2.0667452968693767,0.009960037130549807,3.00025654457559,996,3,-0.008551485853007062,0
theta_fixed,7,Equal,30,slow_response,-0.073753170430074,0,2.9811460756765253,3.0200115284715854,-1.8853924323474591,2.001152847158526,0.009934531476367489,3.0007327031931195,1000,3,-0.02442343977064887,0
theta_fixed,7,Equal,30,time_structured,-0.05490329853807092,0,2.9808797390412964,3.019773143663519,-1.9120260958703283,1.9773143663519122,0.009772229290555743,3.000536527622122,996,3,-0.017884254070728765,0
theta_fixed,7,Equal,50,fast_response,0.007740742491171851,0,2.98503168855923,3.0143951101706983,-1.4968311440770288,1.4395110170697967,0.007448211207927112,2.9999423453150196,999,3,0.0019218228326807936,0
theta_fixed,7,Equal,50,slow_response,-0.0500220462736178,1,2.9860265458688184,3.014362203623467,-1.397345413118165,1.4362203623467273,0.007304713093602593,3.0003653966963837,998,3,-0.012179889879456358,0
theta_fixed,7,Equal,50,time_structured,-0.02393656020042758,2,2.986491624736263,3.0153075747656932,-1.3508375263736916,1.5307574765693217,0.007628898596448955,3.000182609590517,995,3,-0.006086986350561929,0
theta_fixed,7,Equal,100,fast_response,-0.08943848999846556,0,2.9902162425563565,3.0120114132323224,-0.978375744364306,1.2011413232322656,0.0054210860886903505,3.000484853753924,998,3,-0.016161791797471757,0
theta_fixed,7,Equal,100,slow_response,-0.11490819903927826,0,2.990469556213181,3.0116132981218233,-0.9530443786819064,1.161329812182334,0.005408586897856682,3.00062149097978,999,3,-0.020716365992671605,0
